Collection;ID;sub-species;life-cycle;date;country;region;locality;Measured;cranium ;mandible ;mandible coronoid presence;Uh;Ch;Cb-1;Bb;Hb-1;Cb-2;Hb-2;;;;;;;;;;;;;
La Specola;7955;apuana;undergoing metamorphosis;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7990;apuana;triphasic;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;no;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7939;apuana;undergoing metamorphosis;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;yes;yes;no;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7935;apuana;triphasic;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;yes;no;no;yes;no;no;no;no;;;;;;;;;;;;;
La Specola;7952;apuana;undergoing metamorphosis;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7938;apuana;undergoing metamorphosis;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;no;yes;yes;no;no;;;;;;;;;;;;;
La Specola;7936;apuana;undergoing metamorphosis;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;yes;no;yes;no;no;yes;no;no;;;;;;;;;;;;;
La Specola;7937;apuana;triphasic;19/5/1940;Italy;;Lago Baccio, Modena;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22887;apuana;triphasic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22886;apuana;triphasic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22889;apuana;triphasic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22891;apuana;triphasic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22888;apuana;triphasic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22890;apuana;triphasic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;no;no;yes;yes;yes;yes;no;no;;;;;;;;;;;;;
La Specola;22916;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22899;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22918;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22917;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22895;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
