"id","sub.species","life_cycle","country","locality","svl","r_interlimb_l","l_interlimb_l","body_h","head_l","head_w","head_h","r_lower_jaw_l","r_humerus","r_radius","r_metacarpus","r_toe_fore","r_femur","r_tibia","r_metatarsus","r_toe_hind","l_lower_jaw_l","l_humerus","l_radius","l_metacarpus","l_toe_fore","l_femur","l_tibia","l_metatarsus","l_toe_hind","tail"
"7942","apuana","paedomorphic","Italy","Lago Baccio. Modena",1.57703198562603,1.23527587668705,1.23527587668705,0.825426117767823,1.00987563371216,0.876794976200701,0.678518379040114,0.853698211776174,0.720159303405957,0.574031267727719,0.252853030979893,0.382017042574868,0.6232492903979,0.499687082618404,0.431363764158987,0.432969290874406,0.854306041801081,0.634477270160732,0.492760389026837,0.342422680822206,0.437750562820388,0.64640372622307,0.495544337546448,0.301029995663981,0.436162647040756,1.45545396877863
"7925","apuana","metamorphic","Italy","Lago Baccio. Modena",1.65243974758942,1.28397928423848,1.28397928423848,0.838849090737255,0.968015713993642,0.885361220031512,0.617000341120899,0.933993163831242,0.798650645445269,0.65991620006985,0.462397997898956,0.45178643552429,0.764922984649889,0.629409599102719,0.397940008672038,0.474216264076255,0.885926339801431,0.766412847112399,0.585460729508501,0.328379603438738,0.450249108319361,0.750508394851346,0.672097857935718,0.403120521175818,0.551449997972875,1.52917360326172
"7924","apuana","metamorphic","Italy","Lago Baccio. Modena",1.61762929775784,1.24501887073775,1.24501887073775,0.786751422145561,0.996073654485275,0.921166050637739,0.617000341120899,0.94299959336604,0.720985744153739,0.622214022966295,0.214843848047698,0.419955748489758,0.722633922533812,0.587710965018911,0.382017042574868,0.517195897949974,0.931966114728173,0.712649701627211,0.57287160220048,0.357934847000454,0.496929648073215,0.756636108245848,0.599883072073688,0.447158031342219,0.544068044350276,1.514946005308
"7966","apuana","paedomorphic","Italy","Lago Baccio. Modena",1.60379370413696,1.23628527744803,1.23628527744803,0.861534410859038,0.982723387668545,0.841984804590114,0.707570176097936,0.865103974641128,0.657055852857104,0.54282542695918,0.431363764158987,0.359835482339888,0.615950051656401,0.515873843711679,0.328379603438738,0.440909082065218,0.824776462475546,0.64640372622307,0.496929648073215,0.281033367247728,0.363611979892144,0.65991620006985,0.460897842756548,0.276461804173244,0.445604203273598,1.47885496752866
"7958","apuana","paedomorphic","Italy","Lago Baccio. Modena",1.70079022137435,1.38560627359831,1.38560627359831,0.940516484932567,1.07408468902824,0.987666264926275,0.795184589682424,0.953759691733229,0.82865989653532,0.633468455579587,0.431363764158987,0.463892988985907,0.773054693364263,0.551449997972875,0.431363764158987,0.525044807036845,0.931457870689005,0.771587480881255,0.690196080028514,0.278753600952829,0.456366033129043,0.838849090737255,0.578639209968072,0.356025857193123,0.544068044350276,1.60670374133367
"7979","apuana","metamorphic","Italy","Lago Baccio. Modena",1.62746827245971,1.26951294421792,1.26951294421792,0.799340549453582,1.00646604224923,0.942008053022313,0.632457292184724,0.933487287848705,0.777426822389311,0.597695185925512,0.222716471147583,0.568201724066995,0.741939077729199,0.584331224367531,0.389166084364532,0.499687082618404,0.925827574624742,0.786751422145561,0.612783856719735,0.292256071356476,0.445604203273598,0.742725131304698,0.539076098792777,0.385606273598312,0.518513939877887,1.54629583512144
"7941","apuana","metamorphic","Italy","Lago Baccio. Modena",1.70130888522808,1.35564305022087,1.35564305022087,0.851258348719075,1.01452053875792,0.954242509439325,0.677606952720493,0.977723605288848,0.812913356642856,0.643452676486187,0.363611979892144,0.460897842756548,0.834420703681533,0.653212513775344,0.41161970596323,0.556302500767287,0.960470777534299,0.806858029518817,0.655138434811382,0.324282455297693,0.515873843711679,0.840733234611807,0.644438589467838,0.390935107103379,0.397940008672038,1.56169753265399
"7943","apuana","paedomorphic","Italy","Lago Baccio. Modena",1.68214507637383,1.33725953975028,1.33725953975028,0.928907690243953,1.07298474462793,0.977723605288848,0.75966784468963,0.950364854376123,0.750508394851346,0.559906625036113,0.3654879848909,0.424881636631067,0.763427993562937,0.643452676486187,0.380211241711606,0.503790683057181,0.935003151453655,0.731588765186739,0.577491799837225,0.334453751150931,0.499687082618404,0.722633922533812,0.637489729512511,0.342422680822206,0.404833716619938,1.59250984790068
"7962","apuana","metamorphic","Italy","Lago Baccio. Modena",1.65243974758942,1.32180548385754,1.32180548385754,0.816241299991783,1.00432137378264,0.948901760970214,0.66838591669,0.934498451243568,0.775974331129369,0.643452676486187,0.3654879848909,0.47567118832443,0.760422483423212,0.64738297011462,0.378397900948138,0.463892988985907,0.949877704036875,0.73559889969818,0.588831725594207,0.285557309007774,0.515873843711679,0.797959643737196,0.586587304671755,0.383815365980431,0.540329474790874,1.54998361115969
"7978","apuana","paedomorphic","Italy","Lago Baccio. Modena",1.5864747785714,1.23678909940929,1.23678909940929,0.815577748324267,1.01745072951054,0.853698211776174,0.667452952889954,0.886490725172482,0.711807229041191,0.535294120042771,0.269512944217916,0.403120521175818,0.663700925389648,0.506505032404872,0.290034611362518,0.406540180433955,0.852479993636856,0.676693609624867,0.510545010206612,0.290034611362518,0.453318340047038,0.731588765186739,0.537819095073274,0.33645973384853,0.440909082065218,1.4959603948817
"7964","apuana","metamorphic","Italy","Lago Baccio. Modena",1.62096843564429,1.27300127206374,1.27300127206374,0.777426822389311,0.99563519459755,0.944975908412048,0.653212513775344,0.950851458888546,0.769377326076139,0.612783856719735,0.27415784926368,0.416640507338281,0.712649701627211,0.633468455579587,0.389166084364532,0.518513939877887,0.924279286061882,0.748962861256161,0.557507201905658,0.462397997898956,0.429752280002408,0.769377326076139,0.552668216112193,0.40823996531185,0.57978359661681,1.50785587169583
"7956","apuana","paedomorphic","Italy","Lago Baccio. Modena",1.73013600399668,1.40346370134532,1.40346370134532,0.942504106168081,1.0920184707528,1.03702787975578,0.788875115775417,1.02938377768521,0.887617300335736,0.718501688867274,0.406540180433955,0.52244423350632,0.851258348719075,0.695481676490197,0.423245873936808,0.505149978319906,0.999130541287371,0.883661435153618,0.685741738602264,0.367355921026019,0.468347330412157,0.81424759573192,0.648360010980932,0.382017042574868,0.544068044350276,1.65896484266444
"7987","apuana","metamorphic","Italy","Lago Baccio. Modena",1.6398847419163,1.29446622616159,1.29446622616159,0.813580988568192,0.993436230497612,0.933487287848705,0.634477270160732,0.942008053022313,0.751279103983342,0.587710965018911,0.264817823009536,0.426511261364575,0.802089257881733,0.571708831808688,0.328379603438738,0.465382851448418,0.925827574624742,0.838849090737255,0.600972895686748,0.359835482339888,0.509202522331103,0.761175813155731,0.578639209968072,0.406540180433955,0.510545010206612,1.56902258602956
"7990","apuana","metamorphic","Italy","Lago Baccio. Modena",1.53630587235103,1.16286299332193,1.16286299332193,0.681241237375587,0.913283901760418,0.816241299991783,0.552668216112193,0.82020145948564,0.681241237375587,0.526339277389844,0.176091259055681,0.350248018334163,0.650307523131936,0.54282542695918,0.187520720836463,0.426511261364575,0.807535028068853,0.68930885912362,0.47567118832443,0.193124598354462,0.462397997898956,0.695481676490197,0.428134794028789,0.222716471147583,0.380211241711606,1.45178643552429
