id;sub-species;life_cycle;country;locality;svl;r_interlimb_l;l_interlimb_l;body_h;head_l;head_w;head_h;r_lower_jaw_l;r_humerus;r_radius;r_metacarpus;r_toe_fore;r_femur;r_tibia;r_metatarsus;r_toe_hind;l_lower_jaw_l;l_humerus;l_radius;l_metacarpus;l_toe_fore;l_femur;l_tibia;l_metatarsus;l_toe_hind;tail
7967;apuana;paedomorphic;Italy;Lago Baccio. Modena;37.44;16.5;16.5;6.54;8.98;7.48;4.59;6.89;4.54;3.8;2.8;2.68;4.4;3.22;1.93;2.2;6.44;4.8;3.46;1.49;1.82;4.9;3.1;1.87;2.48;27.43
7912;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;41.22;15.97;16.47;6.25;9.52;8.19;4.35;8.36;5.26;3.88;2.11;2.89;4.89;4.8;2.67;3.33;7.33;5.87;3.23;2.4;2.88;5.45;3.42;2.5;3.37;29.45
7919;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;40.51;17.41;17.41;6.17;9.1;7.48;4.4;7.62;5.63;4.9;2.3;2.71;5.1;3.85;2.6;3.4;7.74;5.48;3.52;1.92;3.22;4.64;3.25;1.92;3.7;33.03
7942;apuana;paedomorphic;Italy;Lago Baccio. Modena;37.76;17.19;17.19;6.69;10.23;7.53;4.77;7.14;5.25;3.75;1.79;2.41;4.2;3.16;2.7;2.71;7.15;4.31;3.11;2.2;2.74;4.43;3.13;2;2.73;28.54
7925;apuana;metamorphic;Italy;Lago Baccio. Modena;44.92;19.23;19.23;6.9;9.29;7.68;4.14;8.59;6.29;4.57;2.9;2.83;5.82;4.26;2.5;2.98;7.69;5.84;3.85;2.13;2.82;5.63;4.7;2.53;3.56;33.82
7922;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;40.45;16.68;16.68;6.18;9.81;8.12;4.45;8.12;5.41;4.14;1.99;2.89;5.32;3.57;2;3.2;8.3;5.36;3.48;2.35;2.93;5.23;3.78;2.34;3.36;35.36
7924;apuana;metamorphic;Italy;Lago Baccio. Modena;41.46;17.58;17.58;6.12;9.91;8.34;4.14;8.77;5.26;4.19;1.64;2.63;5.28;3.87;2.41;3.29;8.55;5.16;3.74;2.28;3.14;5.71;3.98;2.8;3.5;32.73
7927;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;39.83;15.5;15.67;5.91;10.45;8.7;4.48;7.96;6.3;4.15;1.85;2.98;5.37;3.88;2.43;3.67;8.21;5.54;3.79;1.76;3.28;5.63;3.77;2.17;3.39;31.93
7902;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;39.5;16.63;16.63;6.7;9.54;7.67;4.3;7.82;5.47;3.82;1.96;2.26;4.56;3.2;1.91;3.26;8.33;5.39;3.64;2.13;2.84;4.82;3.66;2.2;3.62;30.64
7923;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;40.18;17.41;17.41;6.4;9.12;7.27;3.62;7.74;5.15;3.97;1.79;2.99;4.69;3.68;2.28;2.7;7.67;5.2;3.73;1.68;2.77;4.78;3.34;2.11;2.98;31.41
7966;apuana;paedomorphic;Italy;Lago Baccio. Modena;40.16;17.23;17.23;7.27;9.61;6.95;5.1;7.33;4.54;3.49;2.7;2.29;4.13;3.28;2.13;2.76;6.68;4.43;3.14;1.91;2.31;4.57;2.89;1.89;2.79;30.12
7958;apuana;paedomorphic;Italy;Lago Baccio. Modena;50.21;24.3;24.3;8.72;11.86;9.72;6.24;8.99;6.74;4.3;2.7;2.91;5.93;3.56;2.7;3.35;8.54;5.91;4.9;1.9;2.86;6.9;3.79;2.27;3.5;40.43
